                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.78891,                0.53212,                 1.0324,                 0.8483,                0.79244,                0.85115,                 0.5645,                  1.143,                0.99745,                 1.2255,             0.00041807,             0.00041807,             0.00041807
                     66,                0.77566,                0.54444,                 1.0482,                0.83564,                0.78123,                0.87011,                 0.5947,                 1.1366,                0.97035,                 1.2579,             0.00040707,             0.00040707,             0.00040707
                     67,                0.76474,                  0.508,                 1.0401,                0.88249,                0.86684,                0.87577,                0.61415,                 1.0571,                0.89272,                 1.1683,             0.00039607,             0.00039607,             0.00039607
                     68,                 0.7706,                0.52443,                 1.0356,                0.77533,                0.89404,                0.80428,                0.56105,                  1.101,                0.92968,                 1.2053,             0.00038507,             0.00038507,             0.00038507
                     69,                0.75183,                0.51963,                 1.0419,                0.84212,                0.79831,                0.88641,                0.60036,                 1.1236,                0.95167,                 1.2165,             0.00037407,             0.00037407,             0.00037407
                     70,                0.76214,                0.50606,                 1.0321,                0.80653,                0.90009,                0.88604,                0.63122,                 1.0459,                0.89006,                 1.1727,             0.00036307,             0.00036307,             0.00036307
                     71,                0.76267,                0.50376,                 1.0302,                0.83626,                0.84725,                0.86794,                0.61453,                 1.0998,                0.96871,                 1.2005,             0.00035208,             0.00035208,             0.00035208
                     72,                0.77659,                0.53517,                 1.0385,                0.80537,                0.84177,                0.84941,                0.58474,                 1.1176,                0.99754,                 1.2102,             0.00034108,             0.00034108,             0.00034108
                     73,                0.74836,                0.51372,                 1.0316,                0.70552,                0.88943,                0.84809,                0.60029,                 1.0651,                0.92334,                 1.1831,             0.00033008,             0.00033008,             0.00033008
                     74,                0.72303,                 0.4854,                 1.0137,                 0.7875,                 0.8499,                 0.8747,                0.61843,                 1.0747,                0.98085,                 1.2221,             0.00031908,             0.00031908,             0.00031908
                     75,                0.73095,                0.47065,                 1.0141,                 0.8555,                0.88668,                0.88765,                0.62266,                 1.0405,                0.89241,                 1.1808,             0.00030808,             0.00030808,             0.00030808
                     76,                0.69646,                0.46503,                 1.0244,                0.79768,                0.85132,                0.88005,                0.61741,                 1.0606,                0.94256,                 1.1974,             0.00029708,             0.00029708,             0.00029708
                     77,                0.70356,                0.47488,                 1.0066,                0.78906,                0.84286,                0.88642,                0.61429,                 1.0906,                0.93289,                  1.225,             0.00028608,             0.00028608,             0.00028608
                     78,                0.70767,                0.48446,                 1.0151,                 0.8016,                0.81922,                 0.8634,                 0.6003,                 1.0362,                0.93832,                 1.1672,             0.00027508,             0.00027508,             0.00027508
                     79,                0.69838,                0.48497,                0.99573,                 0.7215,                0.89112,                 0.8173,                0.55824,                 1.0615,                0.91753,                  1.209,             0.00026408,             0.00026408,             0.00026408
                     80,                0.69717,                0.48818,                 1.0025,                 0.8617,                0.89194,                0.88368,                0.58132,                  1.057,                0.90168,                 1.1778,             0.00025309,             0.00025309,             0.00025309
                     81,                0.69234,                0.47429,                 1.0028,                0.78589,                0.89749,                0.86493,                0.59943,                 1.0307,                0.93619,                 1.1624,             0.00024209,             0.00024209,             0.00024209
                     82,                0.68578,                0.46632,                0.99304,                0.78584,                0.89765,                0.84125,                0.55984,                 1.0737,                0.95433,                 1.2173,             0.00023109,             0.00023109,             0.00023109
                     83,                 0.6966,                0.46839,                 1.0035,                0.81267,                0.87629,                 0.8679,                0.59664,                 1.0777,                0.93402,                 1.2275,             0.00022009,             0.00022009,             0.00022009
                     84,                0.65536,                0.43521,                 0.9898,                0.83764,                0.87173,                0.86241,                0.61292,                 1.0528,                0.93079,                 1.1845,             0.00020909,             0.00020909,             0.00020909
                     85,                0.64745,                0.42943,                0.98733,                0.82283,                0.86947,                0.86849,                0.60973,                 1.0489,                0.91759,                 1.1858,             0.00019809,             0.00019809,             0.00019809
